id,date,customer_segment,product_area,sentiment,severity,feature_request,description,revenue_impact,region
CF-0001,2026-02-05,Enterprise,Authentication,positive,Low,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Low,North America
CF-0002,2026-05-10,Strategic,Notifications,positive,Low,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Low,North America
CF-0003,2026-02-26,Startup,Dashboard,negative,High,custom executive widgets,Dashboard filters reset when managers switch between account views.,Medium,APAC
CF-0004,2026-06-28,Startup,Integrations,positive,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,APAC
CF-0005,2026-01-27,Enterprise,Reporting,positive,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,LATAM
CF-0006,2026-01-12,Startup,Authentication,neutral,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Medium,North America
CF-0007,2026-05-22,SMB,AI Assistant,neutral,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,APAC
CF-0008,2026-06-19,Mid-Market,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,APAC
CF-0009,2026-04-08,SMB,Authentication,negative,Critical,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,At Risk,LATAM
CF-0010,2026-04-01,Mid-Market,Reporting,neutral,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,APAC
CF-0011,2026-03-04,Mid-Market,Authentication,positive,High,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,High,LATAM
CF-0012,2026-06-26,Strategic,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,EMEA
CF-0013,2026-01-09,SMB,Mobile App,negative,High,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Low,LATAM
CF-0014,2026-03-22,Mid-Market,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,LATAM
CF-0015,2026-02-06,SMB,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,EMEA
CF-0016,2026-05-30,Startup,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,LATAM
CF-0017,2026-05-07,Enterprise,Mobile App,negative,Medium,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,High,North America
CF-0018,2026-04-19,Strategic,Authentication,positive,Low,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,High,North America
CF-0019,2026-03-06,Strategic,Notifications,negative,Medium,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,High,North America
CF-0020,2026-03-10,SMB,Reporting,positive,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,North America
CF-0021,2026-03-09,Strategic,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,EMEA
CF-0022,2026-06-13,Strategic,Authentication,positive,Critical,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,At Risk,EMEA
CF-0023,2026-01-01,Strategic,Billing,positive,Medium,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,High,APAC
CF-0024,2026-03-20,Mid-Market,Integrations,positive,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,North America
CF-0025,2026-01-22,Startup,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,North America
CF-0026,2026-02-12,SMB,Billing,neutral,Low,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,High,LATAM
CF-0027,2026-06-26,Mid-Market,Dashboard,negative,Critical,custom executive widgets,Dashboard filters reset when managers switch between account views.,At Risk,APAC
CF-0028,2026-04-23,Strategic,AI Assistant,negative,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,LATAM
CF-0029,2026-05-31,Strategic,Authentication,positive,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Low,EMEA
CF-0030,2026-06-11,Enterprise,Reporting,positive,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,EMEA
CF-0031,2026-01-19,Strategic,Authentication,negative,Critical,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,At Risk,EMEA
CF-0032,2026-02-03,Strategic,Integrations,neutral,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,LATAM
CF-0033,2026-01-25,Enterprise,Dashboard,negative,High,custom executive widgets,Dashboard filters reset when managers switch between account views.,Low,LATAM
CF-0034,2026-01-14,Enterprise,Mobile App,neutral,Medium,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,High,North America
CF-0035,2026-03-05,Mid-Market,AI Assistant,neutral,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,EMEA
CF-0036,2026-03-13,Startup,Integrations,positive,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,EMEA
CF-0037,2026-01-26,Enterprise,Authentication,negative,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,High,North America
CF-0038,2026-02-12,Startup,Authentication,negative,Critical,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,At Risk,LATAM
CF-0039,2026-02-12,Startup,Reporting,neutral,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,North America
CF-0040,2026-04-27,SMB,Reporting,positive,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,LATAM
CF-0041,2026-05-29,Strategic,Reporting,positive,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,North America
CF-0042,2026-05-03,Strategic,AI Assistant,positive,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,EMEA
CF-0043,2026-02-17,Enterprise,AI Assistant,positive,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,North America
CF-0044,2026-05-26,Mid-Market,Integrations,positive,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,North America
CF-0045,2026-05-25,Strategic,Reporting,neutral,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,APAC
CF-0046,2026-03-09,Startup,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,EMEA
CF-0047,2026-01-03,Startup,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,North America
CF-0048,2026-02-03,SMB,Integrations,positive,Low,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,North America
CF-0049,2026-02-10,Startup,AI Assistant,neutral,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,APAC
CF-0050,2026-05-16,Enterprise,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,APAC
CF-0051,2026-01-30,Enterprise,Authentication,positive,Critical,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,At Risk,EMEA
CF-0052,2026-03-29,Mid-Market,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,APAC
CF-0053,2026-01-24,Startup,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,APAC
CF-0054,2026-03-09,Mid-Market,AI Assistant,negative,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,LATAM
CF-0055,2026-01-29,Enterprise,Reporting,neutral,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,EMEA
CF-0056,2026-05-22,Mid-Market,AI Assistant,negative,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,LATAM
CF-0057,2026-04-02,Mid-Market,Billing,neutral,Low,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,Low,EMEA
CF-0058,2026-06-08,Mid-Market,Authentication,negative,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Medium,EMEA
CF-0059,2026-04-16,Enterprise,Billing,negative,Critical,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,At Risk,EMEA
CF-0060,2026-06-21,Mid-Market,Reporting,neutral,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,APAC
CF-0061,2026-05-01,Mid-Market,Billing,positive,High,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,Low,EMEA
CF-0062,2026-02-27,Enterprise,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,EMEA
CF-0063,2026-03-13,SMB,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,LATAM
CF-0064,2026-01-08,Enterprise,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,APAC
CF-0065,2026-01-10,Enterprise,Reporting,negative,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,LATAM
CF-0066,2026-05-11,Enterprise,Mobile App,neutral,High,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,High,LATAM
CF-0067,2026-05-14,Strategic,Dashboard,negative,Medium,custom executive widgets,Dashboard filters reset when managers switch between account views.,Low,EMEA
CF-0068,2026-03-26,Strategic,Integrations,positive,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,APAC
CF-0069,2026-06-20,Startup,Authentication,neutral,High,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Medium,APAC
CF-0070,2026-02-19,Startup,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,LATAM
CF-0071,2026-01-01,SMB,Billing,neutral,High,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,High,APAC
CF-0072,2026-06-17,SMB,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,LATAM
CF-0073,2026-02-13,Enterprise,Reporting,positive,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,APAC
CF-0074,2026-06-22,SMB,Mobile App,negative,Low,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Low,EMEA
CF-0075,2026-03-04,Startup,Reporting,positive,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,North America
CF-0076,2026-02-19,Startup,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,LATAM
CF-0077,2026-01-02,Enterprise,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,LATAM
CF-0078,2026-04-29,Enterprise,Dashboard,negative,Low,custom executive widgets,Dashboard filters reset when managers switch between account views.,High,EMEA
CF-0079,2026-05-16,Strategic,Authentication,negative,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,High,APAC
CF-0080,2026-06-06,Strategic,Reporting,negative,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,LATAM
CF-0081,2026-05-02,Startup,Reporting,negative,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,APAC
CF-0082,2026-05-05,Mid-Market,Dashboard,positive,High,custom executive widgets,Dashboard filters reset when managers switch between account views.,High,APAC
CF-0083,2026-03-27,SMB,Reporting,positive,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,North America
CF-0084,2026-02-09,Mid-Market,AI Assistant,positive,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,North America
CF-0085,2026-04-17,Enterprise,Reporting,neutral,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,EMEA
CF-0086,2026-01-06,Strategic,Notifications,negative,Medium,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,High,LATAM
CF-0087,2026-04-18,Strategic,Reporting,neutral,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,EMEA
CF-0088,2026-01-08,Startup,Integrations,positive,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,APAC
CF-0089,2026-06-09,Strategic,Notifications,negative,High,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Low,North America
CF-0090,2026-06-19,Enterprise,Reporting,negative,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,North America
CF-0091,2026-02-16,Enterprise,AI Assistant,positive,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,APAC
CF-0092,2026-03-28,Startup,Integrations,positive,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,APAC
CF-0093,2026-05-19,Enterprise,Notifications,positive,Medium,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Low,APAC
CF-0094,2026-01-11,Enterprise,Dashboard,negative,High,custom executive widgets,Dashboard filters reset when managers switch between account views.,High,EMEA
CF-0095,2026-03-03,Mid-Market,Reporting,positive,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,LATAM
CF-0096,2026-04-30,SMB,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,APAC
CF-0097,2026-01-30,Mid-Market,Billing,negative,High,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,High,APAC
CF-0098,2026-05-28,Startup,AI Assistant,positive,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,LATAM
CF-0099,2026-03-04,Enterprise,Dashboard,negative,Low,custom executive widgets,Dashboard filters reset when managers switch between account views.,High,APAC
CF-0100,2026-01-31,Strategic,Reporting,negative,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,North America
CF-0101,2026-05-10,SMB,Mobile App,negative,Medium,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Low,North America
CF-0102,2026-06-12,Startup,Notifications,positive,High,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Medium,EMEA
CF-0103,2026-03-11,Strategic,Notifications,neutral,Low,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,High,LATAM
CF-0104,2026-03-10,SMB,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,EMEA
CF-0105,2026-03-04,Startup,AI Assistant,positive,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,LATAM
CF-0106,2026-05-05,Mid-Market,Mobile App,negative,Low,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Low,APAC
CF-0107,2026-03-12,Strategic,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,North America
CF-0108,2026-04-15,Startup,Integrations,positive,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,EMEA
CF-0109,2026-01-24,SMB,Reporting,neutral,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,EMEA
CF-0110,2026-05-29,SMB,Reporting,positive,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,LATAM
CF-0111,2026-04-01,Startup,Mobile App,negative,Medium,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Medium,APAC
CF-0112,2026-02-19,SMB,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,North America
CF-0113,2026-05-31,Strategic,Billing,negative,Low,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,Medium,APAC
CF-0114,2026-02-15,SMB,Authentication,positive,High,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Medium,North America
CF-0115,2026-01-14,Strategic,Reporting,positive,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,APAC
CF-0116,2026-01-27,Enterprise,Integrations,positive,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,APAC
CF-0117,2026-03-06,Startup,Reporting,neutral,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,North America
CF-0118,2026-06-25,Enterprise,Authentication,positive,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,High,EMEA
CF-0119,2026-01-22,Mid-Market,AI Assistant,negative,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,North America
CF-0120,2026-06-08,Mid-Market,Reporting,neutral,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,LATAM
CF-0121,2026-05-31,Startup,Reporting,positive,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,APAC
CF-0122,2026-06-10,Mid-Market,AI Assistant,negative,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,APAC
CF-0123,2026-02-10,Enterprise,Authentication,positive,Low,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Low,LATAM
CF-0124,2026-01-09,Mid-Market,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,APAC
CF-0125,2026-01-19,Mid-Market,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,APAC
CF-0126,2026-02-20,Startup,AI Assistant,negative,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,North America
CF-0127,2026-01-19,Enterprise,Dashboard,negative,High,custom executive widgets,Dashboard filters reset when managers switch between account views.,Low,EMEA
CF-0128,2026-03-15,Startup,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,North America
CF-0129,2026-05-09,Strategic,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,LATAM
CF-0130,2026-03-24,Strategic,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,APAC
CF-0131,2026-05-31,Enterprise,AI Assistant,negative,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,APAC
CF-0132,2026-05-01,Strategic,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,LATAM
CF-0133,2026-05-30,Startup,AI Assistant,positive,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,LATAM
CF-0134,2026-06-21,Enterprise,Authentication,neutral,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Medium,EMEA
CF-0135,2026-06-19,Startup,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,North America
CF-0136,2026-01-30,Startup,Integrations,neutral,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,North America
CF-0137,2026-06-09,Startup,Reporting,positive,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,LATAM
CF-0138,2026-04-23,Startup,AI Assistant,neutral,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,North America
CF-0139,2026-03-03,Mid-Market,AI Assistant,negative,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,APAC
CF-0140,2026-02-27,Enterprise,AI Assistant,negative,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,LATAM
CF-0141,2026-03-16,Strategic,Authentication,positive,High,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,High,APAC
CF-0142,2026-04-27,Strategic,Notifications,negative,High,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Low,EMEA
CF-0143,2026-02-04,Enterprise,Notifications,negative,Low,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,High,APAC
CF-0144,2026-05-10,SMB,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,North America
CF-0145,2026-05-29,Startup,Reporting,positive,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,EMEA
CF-0146,2026-05-20,Startup,Reporting,neutral,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,LATAM
CF-0147,2026-06-28,Mid-Market,AI Assistant,negative,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,LATAM
CF-0148,2026-03-23,Startup,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,LATAM
CF-0149,2026-06-16,Mid-Market,Notifications,negative,Critical,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,At Risk,LATAM
CF-0150,2026-06-01,SMB,Reporting,positive,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,North America
CF-0151,2026-02-06,Startup,Reporting,negative,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,EMEA
CF-0152,2026-03-28,Strategic,Integrations,negative,Low,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,LATAM
CF-0153,2026-05-17,Startup,Authentication,negative,Critical,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,At Risk,APAC
CF-0154,2026-05-19,Enterprise,AI Assistant,negative,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,North America
CF-0155,2026-02-28,Enterprise,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,LATAM
CF-0156,2026-06-30,Enterprise,Integrations,negative,Critical,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,At Risk,LATAM
CF-0157,2026-03-25,Enterprise,Billing,negative,High,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,Low,APAC
CF-0158,2026-04-16,Strategic,Mobile App,positive,Medium,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,High,EMEA
CF-0159,2026-06-08,Mid-Market,Billing,negative,Low,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,Medium,LATAM
CF-0160,2026-04-29,SMB,Reporting,positive,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,LATAM
CF-0161,2026-03-15,Strategic,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,EMEA
CF-0162,2026-03-18,Startup,Authentication,neutral,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,High,APAC
CF-0163,2026-05-04,Enterprise,Reporting,positive,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,EMEA
CF-0164,2026-06-29,SMB,Integrations,neutral,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,North America
CF-0165,2026-03-12,Enterprise,Reporting,negative,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,North America
CF-0166,2026-06-05,SMB,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,EMEA
